x-axis,1
second,Volt
-15.03125E+00,
-15.01563E+00,
-15.00000E+00,
-14.98438E+00,
-14.96875E+00,
-14.95313E+00,
-14.93750E+00,
-14.92188E+00,
-14.90625E+00,
-14.89063E+00,
-14.87500E+00,
-14.85938E+00,
-14.84375E+00,
-14.82813E+00,
-14.81250E+00,
-14.79688E+00,
-14.78125E+00,
-14.76563E+00,
-14.75000E+00,
-14.73438E+00,
-14.71875E+00,
-14.70313E+00,
-14.68750E+00,
-14.67188E+00,
-14.65625E+00,
-14.64063E+00,
-14.62500E+00,
-14.60938E+00,
-14.59375E+00,
-14.57813E+00,
-14.56250E+00,
-14.54688E+00,
-14.53125E+00,
-14.51563E+00,
-14.50000E+00,
-14.48438E+00,
-14.46875E+00,
-14.45313E+00,
-14.43750E+00,
-14.42188E+00,
-14.40625E+00,
-14.39063E+00,
-14.37500E+00,
-14.35938E+00,
-14.34375E+00,
-14.32813E+00,
-14.31250E+00,
-14.29688E+00,
-14.28125E+00,
-14.26563E+00,
-14.25000E+00,
-14.23438E+00,
-14.21875E+00,
-14.20313E+00,
-14.18750E+00,
-14.17188E+00,
-14.15625E+00,
-14.14063E+00,
-14.12500E+00,
-14.10938E+00,
-14.09375E+00,
-14.07813E+00,
-14.06250E+00,
-14.04688E+00,
-14.03125E+00,
-14.01563E+00,
-14.00000E+00,
-13.98438E+00,
-13.96875E+00,
-13.95313E+00,
-13.93750E+00,
-13.92188E+00,
-13.90625E+00,
-13.89063E+00,
-13.87500E+00,
-13.85938E+00,
-13.84375E+00,
-13.82813E+00,
-13.81250E+00,
-13.79688E+00,
-13.78125E+00,
-13.76563E+00,
-13.75000E+00,
-13.73438E+00,
-13.71875E+00,
-13.70313E+00,
-13.68750E+00,
-13.67188E+00,
-13.65625E+00,
-13.64063E+00,
-13.62500E+00,
-13.60938E+00,
-13.59375E+00,
-13.57813E+00,
-13.56250E+00,
-13.54688E+00,
-13.53125E+00,
-13.51563E+00,
-13.50000E+00,
-13.48438E+00,
-13.46875E+00,
-13.45313E+00,
-13.43750E+00,
-13.42188E+00,
-13.40625E+00,
-13.39063E+00,
-13.37500E+00,
-13.35938E+00,
-13.34375E+00,
-13.32813E+00,
-13.31250E+00,
-13.29688E+00,
-13.28125E+00,
-13.26563E+00,
-13.25000E+00,
-13.23438E+00,
-13.21875E+00,
-13.20313E+00,
-13.18750E+00,
-13.17188E+00,
-13.15625E+00,
-13.14063E+00,
-13.12500E+00,
-13.10938E+00,
-13.09375E+00,
-13.07813E+00,
-13.06250E+00,
-13.04688E+00,
-13.03125E+00,
-13.01563E+00,
-13.00000E+00,
-12.98438E+00,
-12.96875E+00,
-12.95313E+00,
-12.93750E+00,
-12.92188E+00,
-12.90625E+00,
-12.89063E+00,
-12.87500E+00,
-12.85938E+00,
-12.84375E+00,
-12.82813E+00,
-12.81250E+00,
-12.79688E+00,
-12.78125E+00,
-12.76563E+00,
-12.75000E+00,
-12.73438E+00,
-12.71875E+00,
-12.70313E+00,
-12.68750E+00,
-12.67188E+00,
-12.65625E+00,
-12.64063E+00,
-12.62500E+00,
-12.60938E+00,
-12.59375E+00,
-12.57813E+00,
-12.56250E+00,
-12.54688E+00,
-12.53125E+00,
-12.51563E+00,
-12.50000E+00,
-12.48438E+00,
-12.46875E+00,
-12.45313E+00,
-12.43750E+00,
-12.42188E+00,
-12.40625E+00,
-12.39063E+00,
-12.37500E+00,
-12.35938E+00,
-12.34375E+00,
-12.32813E+00,
-12.31250E+00,
-12.29688E+00,
-12.28125E+00,
-12.26563E+00,
-12.25000E+00,
-12.23438E+00,
-12.21875E+00,
-12.20313E+00,
-12.18750E+00,
-12.17188E+00,
-12.15625E+00,
-12.14063E+00,
-12.12500E+00,
-12.10938E+00,
